Exp_name,Window_size,Detection_end,Det_acc,Drift_signaled,Real_drift,Total_Training_time
1_Baseline,500,1000,0.838,False,False,0.019945859909057617
1_Baseline,500,1001,0.838,False,False,0.019945859909057617
1_Baseline,500,1002,0.838,False,False,0.019945859909057617
1_Baseline,500,1003,0.838,False,False,0.019945859909057617
1_Baseline,500,1004,0.838,False,False,0.019945859909057617
1_Baseline,500,1005,0.838,False,False,0.019945859909057617
1_Baseline,500,1006,0.838,False,False,0.019945859909057617
1_Baseline,500,1007,0.838,False,False,0.019945859909057617
1_Baseline,500,1008,0.838,False,False,0.019945859909057617
1_Baseline,500,1009,0.838,False,False,0.019945859909057617
1_Baseline,500,1010,0.838,False,False,0.019945859909057617
1_Baseline,500,1011,0.838,False,False,0.019945859909057617
1_Baseline,500,1012,0.838,False,False,0.019945859909057617
1_Baseline,500,1013,0.838,False,False,0.019945859909057617
1_Baseline,500,1014,0.836,False,False,0.019945859909057617
1_Baseline,500,1015,0.836,False,False,0.019945859909057617
1_Baseline,500,1016,0.836,False,False,0.019945859909057617
1_Baseline,500,1017,0.836,False,False,0.019945859909057617
1_Baseline,500,1018,0.836,False,False,0.019945859909057617
1_Baseline,500,1019,0.836,False,False,0.019945859909057617
1_Baseline,500,1020,0.836,False,False,0.019945859909057617
1_Baseline,500,1021,0.838,False,False,0.019945859909057617
1_Baseline,500,1022,0.838,False,False,0.019945859909057617
1_Baseline,500,1023,0.84,False,False,0.019945859909057617
1_Baseline,500,1024,0.84,False,False,0.019945859909057617
1_Baseline,500,1025,0.84,False,False,0.019945859909057617
1_Baseline,500,1026,0.842,False,False,0.019945859909057617
1_Baseline,500,1027,0.842,False,False,0.019945859909057617
1_Baseline,500,1028,0.842,False,False,0.019945859909057617
1_Baseline,500,1029,0.84,False,False,0.019945859909057617
1_Baseline,500,1030,0.838,False,False,0.019945859909057617
1_Baseline,500,1031,0.838,False,False,0.019945859909057617
1_Baseline,500,1032,0.838,False,False,0.019945859909057617
1_Baseline,500,1033,0.838,False,False,0.019945859909057617
1_Baseline,500,1034,0.836,False,False,0.019945859909057617
1_Baseline,500,1035,0.834,False,False,0.019945859909057617
1_Baseline,500,1036,0.834,False,False,0.019945859909057617
1_Baseline,500,1037,0.834,False,False,0.019945859909057617
1_Baseline,500,1038,0.834,False,False,0.019945859909057617
1_Baseline,500,1039,0.834,False,False,0.019945859909057617
1_Baseline,500,1040,0.834,False,False,0.019945859909057617
1_Baseline,500,1041,0.834,False,False,0.019945859909057617
1_Baseline,500,1042,0.834,False,False,0.019945859909057617
1_Baseline,500,1043,0.834,False,False,0.019945859909057617
1_Baseline,500,1044,0.834,False,False,0.019945859909057617
1_Baseline,500,1045,0.834,False,False,0.019945859909057617
1_Baseline,500,1046,0.836,False,False,0.019945859909057617
1_Baseline,500,1047,0.836,False,False,0.019945859909057617
1_Baseline,500,1048,0.836,False,False,0.019945859909057617
1_Baseline,500,1049,0.836,False,False,0.019945859909057617
1_Baseline,500,1050,0.836,False,False,0.019945859909057617
1_Baseline,500,1051,0.836,False,False,0.019945859909057617
1_Baseline,500,1052,0.836,False,False,0.019945859909057617
1_Baseline,500,1053,0.836,False,False,0.019945859909057617
1_Baseline,500,1054,0.836,False,False,0.019945859909057617
1_Baseline,500,1055,0.836,False,False,0.019945859909057617
1_Baseline,500,1056,0.836,False,False,0.019945859909057617
1_Baseline,500,1057,0.836,False,False,0.019945859909057617
1_Baseline,500,1058,0.834,False,False,0.019945859909057617
1_Baseline,500,1059,0.834,False,False,0.019945859909057617
1_Baseline,500,1060,0.834,False,False,0.019945859909057617
1_Baseline,500,1061,0.834,False,False,0.019945859909057617
1_Baseline,500,1062,0.834,False,False,0.019945859909057617
1_Baseline,500,1063,0.834,False,False,0.019945859909057617
1_Baseline,500,1064,0.834,False,False,0.019945859909057617
1_Baseline,500,1065,0.834,False,False,0.019945859909057617
1_Baseline,500,1066,0.834,False,False,0.019945859909057617
1_Baseline,500,1067,0.832,False,False,0.019945859909057617
1_Baseline,500,1068,0.832,False,False,0.019945859909057617
1_Baseline,500,1069,0.834,False,False,0.019945859909057617
1_Baseline,500,1070,0.832,False,False,0.019945859909057617
1_Baseline,500,1071,0.834,False,False,0.019945859909057617
1_Baseline,500,1072,0.834,False,False,0.019945859909057617
1_Baseline,500,1073,0.832,False,False,0.019945859909057617
1_Baseline,500,1074,0.832,False,False,0.019945859909057617
1_Baseline,500,1075,0.832,False,False,0.019945859909057617
1_Baseline,500,1076,0.832,False,False,0.019945859909057617
1_Baseline,500,1077,0.83,False,False,0.019945859909057617
1_Baseline,500,1078,0.83,False,False,0.019945859909057617
1_Baseline,500,1079,0.828,False,False,0.019945859909057617
1_Baseline,500,1080,0.828,False,False,0.019945859909057617
1_Baseline,500,1081,0.83,False,False,0.019945859909057617
1_Baseline,500,1082,0.83,False,False,0.019945859909057617
1_Baseline,500,1083,0.83,False,False,0.019945859909057617
